,CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster
0,12346,326,12,77556.46,2,4,4,244,Big Spender,0
1,12347,2,8,4921.53,4,4,4,444,Champion,0
2,12348,75,5,2019.4,3,3,3,333,Loyal Customer,0
3,12349,19,4,4428.6900000000005,4,3,4,434,Loyal Customer,0
4,12350,310,1,334.40000000000003,2,1,1,211,Lost Customer,1
5,12351,375,1,300.93,2,1,1,211,Lost Customer,1
6,12352,36,10,2849.84,3,4,4,344,Loyal Customer,0
7,12353,204,2,406.76,2,2,2,222,Lost Customer,0
8,12354,232,1,1079.4,2,1,3,213,Lost Customer,0
9,12355,214,2,947.61,2,2,3,223,Lost Customer,0
10,12356,23,6,6371.7300000000005,4,3,4,434,Loyal Customer,0
11,12357,33,3,18287.66,3,2,4,324,Big Spender,0
12,12358,2,5,3887.07,4,3,4,434,Loyal Customer,0
13,12359,58,10,8873.39,3,4,4,344,Loyal Customer,0
14,12360,52,8,4252.89,3,4,4,344,Loyal Customer,0
15,12361,287,4,511.25,2,3,2,232,At Risk,1
16,12362,3,11,5356.2300000000005,4,4,4,444,Champion,0
17,12363,110,2,552.0,2,2,2,222,Lost Customer,0
18,12364,8,4,1313.1,4,3,3,433,Loyal Customer,0
19,12365,291,2,641.38,2,2,2,222,Lost Customer,1
20,12366,634,1,500.24,1,1,2,112,Lost Customer,1
21,12367,4,1,168.9,4,1,1,411,Others,0
22,12368,628,1,917.7,1,1,3,113,Lost Customer,1
23,12369,413,3,1791.15,1,2,3,123,Lost Customer,1
24,12370,51,7,4316.56,3,3,4,334,Loyal Customer,0
25,12371,45,5,4067.38,3,3,4,334,Loyal Customer,0
26,12372,72,3,1298.04,3,2,3,323,Others,0
27,12373,311,3,1127.65,2,2,3,223,Lost Customer,1
28,12374,25,4,2989.2200000000003,4,3,4,434,Loyal Customer,0
29,12375,11,2,457.5,4,2,2,422,Others,0
30,12376,390,2,503.15,1,2,2,122,Lost Customer,1
31,12377,315,4,3426.32,2,3,4,234,Big Spender,1
32,12378,130,2,5416.32,2,2,4,224,Big Spender,0
33,12379,82,4,1620.22,3,3,3,333,Loyal Customer,0
34,12380,22,11,9676.3,4,4,4,444,Champion,0
35,12381,5,5,1845.31,4,3,3,433,Loyal Customer,0
36,12383,185,5,1850.56,2,3,3,233,At Risk,0
37,12384,29,2,585.27,3,2,2,322,Others,0
38,12385,379,1,1938.4,2,1,3,213,Lost Customer,1
39,12386,338,2,401.9,2,2,2,222,Lost Customer,1
40,12387,415,1,143.94,1,1,1,111,Lost Customer,1
41,12388,16,8,3901.11,4,4,4,444,Champion,0
42,12389,403,3,1433.33,1,2,3,123,Lost Customer,1
43,12390,80,1,549.84,3,1,2,312,Others,0
44,12391,22,6,2724.84,4,3,4,434,Loyal Customer,0
45,12392,591,1,234.75000000000003,1,1,1,111,Lost Customer,1
46,12393,72,6,2399.45,3,3,4,334,Loyal Customer,0
